rvprcomments,wasreturned,wfsku,year
Love it so far -- colors are just what I wanted to brighten up my living room,0,H,2017
I scoured the Internet for several days before I spotted this gem. It looks very good in real life. It doesn't look cheap. The barn doors work very well.,0,I,2018
Great vanity for a good price! Easy assembly.  Mirror attaches to back of vanity easily too!  We assembled it all in about 15 minutes!,0,J,2018
Love my new pillows.,0,A,2018
"Love it 

Crispy",0,B,2017
Love this painting! Purchased it for our conference room and have received many compliments on it.,0,C,2017
Arrived in perfect condition. It's truly a perfect dressing mirror with the extra width we were hoping for. The frame is sturdy and looks like real wood. We look forward to hanging this mirror when we complete our master suite.,0,D,2017
Great for hanging stockings,0,E,2018
It is light and unique. Loved it,0,F,2018
"Works great, love it.",0,G,2018
Works for me! Great colors.,0,H,2018
This pillow looks great and the gold is nice and shiny. It was smaller than I thought but I didn't pay attention to the dimensions.,0,I,2017
This is absolutely beautiful and it has not faded in the sun at all; but be careful  with handling it cuz I accidentally broke off the bird while cleaning it. Fortunately I was able to superglue it back on.,0,J,2018
Delivery was super fast!  The assembly was very easy!  Just screwing on legs!  The chair looks exactly like it does on your site and it is beautiful and well made!  Excellent value!,0,A,2017
"Good quality, good price, easy to put together.  The red cushion was the perfect shade and very comfortable.",0,B,2018
"Loved the chairs, it was very easy to put together. Great addition in a couple of treatment rooms for my patients. Perfect height for people to sit. Looks exactly like it is pictured.",0,C,2018
nice I love it. Nice price.,0,D,2017
Great unit. Love the black wood combination!,0,E,2017
so cute. I actually use as hanging basket for succulents.,0,F,2017
Great couch dimensions and color are spot on with description. Has a firmness that is a desirable level.,0,G,2017
"This print on canvas is amazing! 
It looks fantastic in our guest bedroom!",0,H,2018
Beautiful chair but very top heavy....definitely easy to tip over.,0,I,2018
"Excellent sink!  Fit perfect where my double stainless steel sink was. Quality is outstanding. Does not stain, easy cleanup ( just dish soap and sponge ).
Black Matt finish matches my black granite countertop.
Excellent packaging, no issues
Easy Installation with supplied parts.",0,J,2017
Beautiful!,0,A,2018
This rug is very pretty in person. The colors are true to the pictures. It does take some time to get the creases out though.,0,B,2017
This piece is really nice...very happy with it!,0,C,2018
used this in our new bathroom and it is beautiful!,0,D,2018
Met my expectations.  Love it !,0,E,2018
Comfy,0,F,2017
Very nice chairs,0,G,2018
Beautiful unit! The color is a little darker than pictured but overall I was very satisfied with the product. It's perfect in my living room and I have had many compliments about it!!!,0,H,2017
It's great,0,I,2018
Soft and snuggly. Love it and the colors arebeautiful.,0,J,2017
Each item was beautiful and such good prices.,0,A,2018
So looks lovely and fits with our style,0,B,2017
Love it!,0,C,2017
"Nice quality, heavy duty fiberboard with good glossy white finish  Very heavy with thick sides, top, bottom,  and shelves.  It even has feet that allow you to adjust them if your floor is uneven.  I wanted 'vertical"" storage in a corner with not a lot of clearance and this bookcase fit the bill perfectly.   I also appreciated the adjustable shelves.",0,D,2017
Really like this chair. Comfortable and pretty.,0,E,2018
It is ok.  Not worth what I paid for it.,0,F,2017
The Billiards Balls are perfect.  They look just like the picture. I ordered another set for the jar I am displaying them in.,0,G,2018
Fantastic quality towels!!,0,H,2018
"I loved it, it is nice and firm the way I expected.",0,I,2018
Stunning as an entry piece!,0,J,2017
"Awesome material and made well. It's shabby chic, just the way it shows. Love this frame.",0,A,2018
"looks nice, chairs are great, table is a bit small I should have measured better. Needs cushions.",0,B,2017
Excellent coffee maker. Great value for money and no restriction of using capsules,0,C,2018
Love it! Looks exactly like the photo. We used this area rug for underneath the dining table and it looks great!,0,D,2017
Great basic set. My only reservation was that the handles were a bit thin.,0,E,2018
These are perfect for what I wanted.  They suit everything,0,F,2017
"I've purchased quite a few shell-style mid-century chairs, and these are some of my favorites! The walnut legs are beautiful, and come with grip glides already attached. Assembly is a snap - just attach the leg assembly to the bottom of the shell chair. I purchased in the smoke-blue fabric, and was surprised that the upholstery on the inside seat and seat back of the chair is smoke-blue, but the outside seat back of the chair is actually a lighter version of that color. I don't mind it, but was surprised. I will be sure to post a photo for an example.",0,G,2018
"Exactly as pictured.  Easy to assemble.  Perfect for a modern, clean-lines room.",0,H,2018
Sturdy. Easy install.,0,I,2018
The pillow is even better in person. looks fantastic in my starfish chair. Thanks Wayfair,0,J,2017
"I just got four of these, three days early! Within the hour, I had them out of their boxes and assembled. So far, I like everything about them. They are exactly what I wanted!",0,A,2017
Bigger than I thought. Heavy too.,0,B,2018
"Nice looking, comfortable and a great price",0,C,2018
Very Nice,0,D,2017
I liked the look of these but I thought they would have been brighter,0,E,2017
I love my new azure blue color chairs. Easy to assemble. They are comfortable and really spruce up my dining area..  Just to be on the safe side I did purchase the three year insurance .,0,F,2017
I am loving the chairs.  No hardware was included in sofa and coffee table so I am having to wait,0,G,2017
Love these,0,H,2017
"Shorter than I expected, but my fault. Should have read description better. Not disappointed in actual product at all!!",0,I,2017
Very beautiful worth it,0,J,2017
"soft, big, and comfy! We love it!",0,A,2017
Awesome I bought 3 pieces of the same kind,0,B,2018
Love these!  They look fabulous!  Exactly as they are described.,0,C,2018
These are great,0,D,2017
Super soft! Fits our giant mattress perfectly! Bought the gray and it compliments our decor.,0,E,2017
Great rug.,0,F,2017
"Great, solid piece of furniture. Easy to assemble.",0,G,2017
"These are cute- but any ""sweating"" glasses stick to them and can cause falling and breakage- be careful b/c these are adorable!",0,H,2017
Such a stunning piece!,0,I,2017
"I love this rug! I waited several months to get it since it was out of stock. As a rule, I don't usually like to purchase items that I have not been able to actually see. This was worth the wait!",0,J,2017
"Easy to assemble, look great and very comfortable!",0,A,2017
Nice quality.  Cool design.  Will look really nice in my new office.,0,B,2017
"Great addition to my other Rachel Ray cookware.  It is nice and deep, cleans up like a dream, and heats up evenly.  I have a smooth top stovetop.",0,C,2018
Love the colors in this set. Was exactly what I was looking for!,0,D,2018
"Piece arrived as scheduled and the delivery guys were great! Love the vanity, looks great in my bathroom. Would have given 5 stars but there were a few spots with paint chipping. Contacted customer service and everything was taken care of. Great customer service, will definitely shop again",0,E,2017
It looks just how I want,0,F,2017
I got two and my basket collection looks great in them. They are very sturdy and easily assembled!,0,G,2017
Perfect for blocking out light in my room. Sleeping so much better now!,0,H,2018
This is a great heavy duty pot for all those 'one dish' dinners!,0,I,2018
I got this rug on sale for $5  great price very pretty .,0,J,2018
perfect chair just beautiful,0,A,2018
"THESE ARE GREAT COMFORTABLE CHAIRS WE HAVE IN BEDROOM EASY TO GET IN & OUT OF VEN FOR
A LARGER PERSON.",0,B,2018
"Received topper with a cover within 5 days of ordering. Very comfortable. The memory foam was soft, but not to soft.",0,C,2017
Very nice product. Comfortable.,0,D,2017
My husband put this together and it went together really easily and quickly.  It works fine and I love the massagers.  Looks great and we are happy with it.,0,E,2018
Love my clock,0,F,2018
Item was missing multiple parts for the second chair,0,G,2018
The qualify of this lamp is beautiful.,0,H,2018
"it was just what I wanted,  super soft beautiful colors, very happy with it, thanks wayfair.",0,I,2017
Quick and easy to put together. Very sturdy and comfortable. Nice quality! Definitely recommend!,0,J,2018
Love the sheets; very soft.,0,A,2017
"I'm so satisfied worth the price very good quality, design. Very recommend.",0,B,2018
These curtains are beautiful.  Great quality. The color is a light oatmeal color and the embroidery is just off a white.  I love these.,0,C,2018
"Arrived broken, otherwise it looks great",0,D,2018
Really nice style but very small drawers,0,E,2018
Good quality and colors are perfect!,0,F,2018
Beautiful table. Exactly the same as a $1200 pottery barn version!,0,G,2018
I love this pan and how tall it is I love the prize of it I love love love,0,H,2017
These chairs are really beautiful! I just purchased my first home and got these 2 chairs for the smaller sitting room upstairs. Adore these!,0,I,2017
"Quality exceeded my expectations! They looked small but then I realized how deep they are. Only improvement would be to the handles, they do get hot.",0,J,2017
"Sorry posted wrong pic, here's correct one",0,A,2017
Love this rug;). It matches perfect!,0,B,2017
Smaller then I expected,0,C,2018
Just what I was looking for. Arrived on time. Very nice product.,0,D,2017
Poor finish work wavy doors poor stain work paid extra for European coffee not worth 1400 I paid for will not buy from Wayfair again.,0,E,2017
We bought this as a wedding gift.  Bride and Groom loved it.,0,F,2017
love it!,0,G,2017
adorable,0,H,2017
"Was just what I was looking for...I needed sturdy shelving to hold the gazillion pairs of heavy hiking boots my husband has laying around everywhere.  Shelving is the perfect depth - they're up against the wall, but I can still open the door to the deck   Sturdy and super easy to assemble....at a great price.",0,I,2017
I sent this to my friend for her condo in Cabo. She loved it!,0,J,2017
It is a simple mirror that did the trick.,0,A,2018
"So far I like it. Previous salt grinder lived a short life, so I thought Id try something different.
Not my best purchase.",0,B,2017
"The sheets came as expected. After washing, they were very soft and comfortable. Good value for the money.",0,C,2017
I'm so happy with this chair it's comfy and cute too,0,D,2017
Quality product at a good price. Fairly easy to put together. Love that there is an area between the litter box and the opening so my dog can't stick her head in and eat anything! Ha!,0,E,2018
It's very shear and the length isn't accurate... But they are nice,0,F,2017
very comfortable and easy to set up.,0,G,2018
Love it by my stove for my onions and garlic,0,H,2017
"The tread.was very thin, not qualify



Themail sheet tread was very thin, not quality.",0,I,2017
"Purchased 2 in May 2016, had one replaced by warranty due to recliner portion, 2nd one the back cushion went out in August 2017.",0,J,2017
"great quality, using it for retail merchandise display",0,A,2017
This was my first order from Wayfair. I was very anxious about ordering desks online without seeing them in person first. The desks were delivered quickly and on time (within 2 days). The boxes were all in good condition and the packing materials kept the desks safe and sound.  They look great and really look like we spent more than we did. I would totally order these again!,0,B,2018
"Bed arrived well packaged and in
Good cond. It flattened out in no
Time and my dog loves it! And with him suffering from a bad hip it was just
What he needed!",0,C,2018
It is exactly as pictured.,0,D,2017
Would not rebuy. To thin tore up already,0,E,2018
The board is quite nice.  I think it was a bit pricey for what you get.  I probably could of found it somewhere locally for a lesser price.,0,F,2017
This is a great office desk.  It’s the perfect size for a small room.,0,G,2018
So pretty!,0,H,2018
We love them! They block out the sun perfectly and are a really interesting shade of blue-green.,0,I,2018
Love It! Love It!  Perfect at the front door and all the drawers make it a great landing spot for everyone's keys and sunglasses!,0,J,2017
"Used in a beach house living room for some color, nice rug, great price.",0,A,2018
This rug is beautiful! Great quality for the price.,0,B,2017
Nice microwave,0,C,2018
"We love the couch,It was very easy to set up,and it just worked out great for our home.Its just what we wanted.",0,D,2018
I love how this is packaged. Great mattress for the price.,0,E,2017
I love it! The colors are just like the picture.,0,F,2018
understated elegance and very modern...like it a lot,0,G,2017
Exactly what I needed great quality.,0,H,2017
Great!!!!!!!,0,I,2017
"I plan to keep the set, but the colors and the design appear to be much more modern in the picture. It’s very traditional in person.",0,J,2018
This set is absolutely stunning! The set was packaged really well and came in perfect condition!,0,A,2017
perfect for our bathroom stand,0,B,2018
Awesome color and very comfortable,0,C,2018
not as big as i pictured but like it,0,D,2018
Beautiful curtains,0,E,2018
"I bought two of theses sets to put behind the sofa. They arrived well packaged with no damage. They look like the pictures. They we simple to assemble with one person, but we had two people do the stools to make sure they were straight. They look good, are sturdy and we have had compliments on them. I was a little concerned about the backless stools, but the are very comfortable to sit on. 
Look good and are functional too.",0,F,2018
"Excellent product, fit the couch very well.  Easy to order, there were no delivery issues.  Thank you.",0,G,2017
Very sturdy and easy to assemble.,0,H,2017
I bought 2 and they added much needed organization for paperwork.  Everything is in view and I can find what I need at a glance.,0,I,2018
Great - just as pictured - delivered as promised.,0,J,2018
"The blush is very beautiful, complete room package.",0,A,2018
"Exactly what I expected! Pictured with a 12"" mattress and 9"" box.",0,B,2018
"The tree is perfect. Perfect size and the functions are easy to use, not to mention highly entertaining. It came well before it was due to arrive. Unfortunately it stopped working within an hour of being plugged in. Never fear, the Wayfair team was wonderful and all it took was a quick phone call and I had a replacement at my doorstep. This one is just as pretty but much more functional. I have used for over a week and its still mesmerizing passersby.",0,C,2017
nice-classy appearance,0,D,2018
Light and clear!,0,E,2017
Very rich looking for a simple rug. Mixed and matched with another in the same color group. Awesome in my guest room.,0,F,2017
Absolutely gorgeous,0,G,2017
Nice chair for the money.  The color was a little brighter than it looked on line.,0,H,2017
Like The Look But Not The Bedskirt. Will Need To Buy Something Else.,0,I,2018
"Perfect weight, simple design",0,J,2017
Great support for mattresses!,0,A,2017
Everything I expected,0,B,2017
"OK, only.  Doesn't appear great quality.  I am keeping it but not leaving it in my living room.",0,C,2017
Looks beautiful and finishes the whole tree,0,D,2018
Super easy to set up. Very sturdy. Only complaint is that the mattress does tend to slide around on top. I expected a rim for the mattress to go in but there is none. Otherwise very convenient for frequently moving college kids etc.,0,E,2018
Elegant.,0,F,2017
Love the bowls but the green one I received has the color and glaze missing in 4 spots on the bottom.,0,G,2017
Perfect stool for my kitchen island.  I little challenging to put together but worth it when done.,0,H,2017
"Perfect small table between two, twin beds.  Bought the teal.  It is a little darker than the picture, but very cute.",0,I,2018
Very nice.  Rich looking.  The pad is nice and thick.  When unpacked it was perfect !,0,J,2018
I've been looking for a chair like this for a while. It's comfortable and easy to relax in. I'm probably going to buy another soon.,0,A,2018
The Lounge Seating is great and  goes perfect with our small patio. It was easy to built .. took my husband about an hour :-).. we cant wait to order more products from way-fair!! Never fails to disappoint you!!,0,B,2018
Love this sconce! Took me a minute to figure out putting it together but it looks modern but not too modern-cold.,0,C,2017
Great coffee table.  It took 10 minutes to assemble the legs and Walla!  Great ash gray color that matches EVERYTHING in my apartment.  I used it temporary as a TV stand until the ordered arrived.  I have a feeling this table will have many uses.,0,D,2018
The chairs were super easy to put together and have been very sturdy.,0,E,2017
I like it a lot but the benches are different one has buttons and the other doesn't. Also the benches are off balanced.,0,F,2017
Like but fire insert cheesy,0,G,2018
would not stay  with the weight of  valance.  Not pleased,0,H,2017
This a rug that makes your toes cozy bare foot.  Just right amount of color and design.,0,I,2018
fun piece!,0,J,2018
Nice colors and weight. Well made. Just as I expected.,0,A,2017
Looks great and has been holding up well.,0,B,2017
Beautiful ! Quality made . Easy to assemble .,0,C,2018
"Very nice chairs, packed and shipped very well done, super comfortable!!",0,D,2017
"Really pretty although the colors are much bolder than the picture suggests, with a lot more pink in the starfish.  Overall I'm satisfied but would not choose to buy if the photo had been more true to actual color.",0,E,2018
This table is my most favorite piece in my living room.  Looks and feels like a really expensive table but was very reasonable in price.  Matches the TV stand and bookcase I bought with it.  My living room looks so much more put together with these pieces.,0,F,2018
Love it!! Color was perfect,0,G,2017
Very sparkly blue whale. If you collect whales or are a fan of whales this ornament will not disappoint. Mine will be displayed year round in my plant.,0,H,2018
will recommend this mat for all. It is quality even for the price.,0,I,2018
"I saw these at a restaurant in Laguna Beach and searched them out. They are nice and sturdy (good enough for a restaurant) and I love the oval bottom, round top. Great for every day use.",0,J,2018
I got these in black and white and they are very nice and substantial.,0,A,2017
"The perfect memorial for my Father, it's sweet, stylish, and sentimental. We made a wall collage with this piece!",0,B,2018
Very Pretty colors!,0,C,2017
"A little thinner than I expected, but still works well under the recliners. Shouldn’t get a lot of traffic, so hopefully it will last long.",0,D,2017
"We love them.... they are the perfect style we were looking for and the length and weight are a part of the feel we were looking for, a high end finish to our cabinetry.",0,E,2018
Great value. Excellent quality and perfect accent.,0,F,2018
The stocking holder is way prettier in person. I can't wait to put them on my fireplace,0,G,2018
Kind of mushed.,0,H,2017
Great rug colors are very vibrant feels good under your feet.,0,I,2017
I bought 2 of these. Really like them,0,J,2018
"These are very cute with  my sons pirate themed room, we bought the black and gray stripe. Unfortunately, they do not knock out as much light as I was hoping.",0,A,2018
It's lively!  It's colorful!  Loved it.,0,B,2017
"PERFECT, JUST WHAT I WANTED",0,C,2018
its great love the color,0,D,2017
It is exactly what I expected.,0,E,2017
Ordered this in black and white.  Great distressed look!,0,F,2018
Love this set! It looks great in our master bedroom!,0,G,2018
"Tables are sturdy, easy to assemble, have levelers on the legs in case outdoor surface isn't level, and look as good as pictured. The best assembly instructions of any ""slight assembly required"" piece I have ever purchased.",0,H,2018
"Perfect for the deck, looks great with the outdoor sectional and very easy to use the broom on and drugs very quick if it rains out!! Love it!!!! MJ",0,I,2018
Overstuffed. Just for show not comfortable.,0,J,2018
"It is beautiful.  Light weight and fits our apartment perfectly.  Only complaint is that the bottom section of the tree
does not ""seat"" very firmly in the stand.  Even tightened it is still alittle wiggly.",0,A,2017
"Beautiful rug, I usually like plush but we wanted something thin for in the bedroom and it's perfect. Subtle but pretty color, doesn't shed. Very pretty!",0,B,2018
Easy to assemble. Very comfortable.,0,C,2018
"Well I already have the purple mosaic bedding in my light purple bedroom and just love it. I've had more compliments that my sister had purchased the same thing to update her ""granddaughters room"". 
I have a coral color room that the pink/orange mosaic is going to look beautiful in. 
I really love the Jessica Simpson line - because it caters to both young and older girls alike- from age 3 (my great niece who wants the purple in her room- to my twin sister age 58 who is redecorating a room with it?!?)",0,D,2018
I love it.its perfect just like it looks on line.very very please.,0,E,2017
This chandelier is the perfect size and color.  I love it in our dining room.  I was missing a crystal and they promptly sent it to me.,0,F,2017
"One question--From the pictures on line, this pillow looked to be stuffed.  My beautiful blue snowflake pillow came with no stuffing.  Was that a mistake?  Pillows tend to be expensive, but imagine my surprise when all I got was the pillow cover!

The rest of my order was fine.",0,G,2017
It was easy to put together. Frame was light weight hope it holds 200 lbs,0,H,2018
Lacks in quality for the price. Looks good. Functional.,0,I,2018
"Love it, shipping was delayed by a week of what was estimated at checkout.  So I was bit bummed about that, but overall great for the price.",0,J,2017
Bought two for Jack&Jill bathroom.  A little large for handtowel but dramatic.,0,A,2017
"Super easy to put together. Only thing I suggest is getting a box spring with your mattress, there isn't much height to the bed without it.",0,B,2017
Probably the lightest (largest) package I've received during the holidays. This pretty tree was so easy to assemble and the lights built into make tree decorating so much easier.,0,C,2018
Just the right size and the colors are great.,0,D,2017
Nice color for small basement Windows,0,E,2018
Great quality . Everyone wants to know where I got this sink!!,0,F,2017
"The construction seems fine. The chair is really more square than it appears in this picture. My chief complaint, other than it was delivered over 3 weeks later than the estimate with no explanation as to why, is that the fumes from the chair are so bad that 2 days after delivery, I cannot sit in it. It gives me a headache and burning sensation in my nose and throat. The company that makes the chair, Klaussner, claims they use low VOC materials. I'm having a hard time believing that.",0,G,2017
"Gorgeous, textured, easy to work with. I'm obsessed with my stairwell now and everyone who visits comments on how amazing it looks. Instant highlight to the home.",0,H,2017
"Wonderful chair. Good quality fabric and construction. Only down side is the seat cushion is hard, it does not give at all when you sit.",0,I,2017
"Love this one, cute and super comfy",0,J,2018
"Great, soft sheets! Impressed with the quality at this price!",0,A,2017
Very good,0,B,2018
just what I expected. It looks nice in the bathroom.,0,C,2017
"I'm not sure I can count all of the reclining positions that this chair offers. This chair envelops you in comfort, and the leather is simply beautiful.",0,D,2017
This bedding ensemble is beautiful for the price.,0,E,2017
Basic quality at a reasonable price.  The blue is more vibrant than looks online. Excellent length for a runner.  Goes well with any,0,F,2017
Love the wood. I did end up painting the legs black though.,0,G,2018
"LOVE THIS!! Was looking for something sturdy but not expensive like the other furniture stores wanted.  These were not even hardly put together before being put to use.  VERY sturdy and well built.  Easy to put together although we did use some Gorilla wood glue to help put it together though the instructions didn't call for it.   They look great, are sturdy but not too heavy to move.   Very pleased.",0,H,2018
Very pretty headboard and easy to assemble. Arrived quickly and well packaged.,0,I,2017
MATCHED PERFECT.,0,J,2018
I have not got these on the wall yet since my house isn't finished. I like the way they look tho. Elizabeth,0,A,2018
Dining chairs are of high quality materials and would look supurb in a dining room or in the kitchen with a table for two.  The style is detailed perfect for a French Country Farmhouse Look. They are so easy to assemble that you will be sitting in them in no time. Excellent! 5 Star rating.,0,B,2017
Great light for outdoor use. Clean lines and good amount of light.,0,C,2018
Loved it!,0,D,2018
"These lamps are perfect for my newly painted house, I needed 3 lamps, they were easy to install and they look great!",0,E,2017
This is a very nice desk and was easy to assemble.,0,F,2018
"Had some trouble getting them here, but wayfair cleared up the issues at no cost to me. They are a little bit smaller than I thought, but they look great and were easy to put together.",0,G,2018
"Perfect color!  Nice weight on the drapes....
Fast shipping!",0,H,2017
"Loved the color. It is a bit brighter than pictured, but not too much.",0,I,2018
Love this! Exactly as pictured. Great entryway hallway fixture.,0,J,2018
more durable and thick than others. holding up very well. color not fading at all. NO need for fabric softner,0,A,2017
"i bought two white panels to fit for one 37"" wide widow pane. One is too flat but two gives the perfect amount of gathering to look luxurious. Sun rises and sun sets are gorgeous through these curtains.",0,B,2018
Bought 3' 4' & 5'. They were all great. The 4' had a light that was crushed exposing the wires and they replaced it immediately.,0,C,2017
The bed is prettier than I expected. Very sturdy,0,D,2017
Great bench for my entry way!,0,E,2018
Nice bef easy to assemble...absolutely libe it!!,0,F,2018
Looks great! Just as pictured!,0,G,2018
This dresser could be nice if the screws sent with the dresser were actually long enough to keep the tracks attached to the drawers themselves. I'm very disappointed in this product because I just wanted a nice dresser. I wouldn't recommend buying this dresser unless you are fine with going to a hardware store and buying equipment to assemble this properly.,0,H,2017
Love these...got them in the blue.,0,I,2017
I like them so far,0,J,2018
"Very adorable and perfect for my small apartment living room. Accidentally ordered the coral-ish color (darker in person but not a bad thing) instead of the purple, but I'm glad I kept it! Extremely quick delivery also!",0,A,2017
Hits but thin n hit defective fitted on one of the sets I purchased but I called n used website to report flaw. CS  is sending replacement very nice,0,B,2017
Table is as pictured but I thought it would be a little lighter based on the picture. But it still looks good.,0,C,2017
"Aside from the delivery issue, me and my husband really loved our new couch. It was easy to install, spacious and can convert to a guest bed.",0,D,2017
as described!,0,E,2017
Just wish it was slightly deeper; to store all of my dishes and platters,0,F,2017
This bed was very easy to assemble and looks great! The mattress fits on it perfectly and it's a great addition for our guest room.,0,G,2018
"Works for me, looks great!",0,H,2017
Love it just the right size for a small area!! Very comfortable!,0,I,2018
"I liked the slip cover material.  The material is very soft and comfortable to sit on.  The hassock cover fit perfectly, the upper chair, took a lot of tucking.  The t-cushion slipcover fit perfectly too.  The only reason I didn't give five stars is because the top part didn't have as smooth a fit as the other parts of the chair.  All in all, though, I am very satisfied with these slip covers.",0,J,2017
very cute,0,A,2017
Nice quality. Happy with this purchase,0,B,2017
Got these in gray. Love them.,0,C,2018
"Soft,soft and comfy! Wonderful to sleep on and the color is perfect!",0,D,2018
"The stools are very sturdy and they look great, my only complaint is the they don't swivel very well.",0,E,2017
great and nice quality,0,F,2018
I need more!,0,G,2017
"Beautiful,  look like leathet",0,H,2018
Great quality! Very comfortable and soft.,0,I,2018
Love,0,J,2017
Great quality!,0,A,2017
"Went with soft gray to match the bedroom bench.  Perfect height for bedside and computer desk, because it rises above my screens.  Great soft touch against our dark gray walls.",0,B,2018
"This is so nice, all the coats and the shoes have a place to be. Good sturdy hall tree, and it looks great too.",0,C,2017
"This was a bit of a project to put together so plan accordingly.  There are many pieces.  Once assembled, however, it works perfectly for our purposes.  The cabinet doors are a little tricky to adjust for smooth operation.",0,D,2018
We love the size of these chairs and they look very nice in our living room.  The delivery was fast and efficient.  The pillows that came with the chairs are the only negative...They started to unravel the moment we took them out of the package.  Not a big deal for us as we don't use them anyways.,0,E,2017
Best price around!,0,F,2017
"I LOVE this rug. I love it so much that this is the second one I bought. The black and cream colors are beautiful, and the pattern is very pretty.",0,G,2017
This chair is darling. The pink is the perfect shade of pink. Great buy!,0,H,2017
Great square size. Most cutting boards are all rectangular shapes. Nice area to work on!!!,0,I,2017
PERFECT,0,J,2017
Took  2 hours to put  together,0,A,2018
Super soft we're very happy with this purchase!,0,B,2017
Very Nice,0,C,2017
Very pretty,0,D,2017
"I don't think we could be any happier with this stand. I needed a corner stand that was functional (space for the TV and the electronics), easy to clean (I hate dusting) and added a touch of charm to our living space. The rustic look to this stand change the vibe just enough without making it look like I needed to replace the end tables. Blends perfectly with our grey furniture and our grey/tan/brown area rug. And it was fairly easy to assemble (I'd give it a six on a scale of one to ten, ten being complicated and time consuming).",0,E,2017
Just what I thought it would be like. Really easy assembly!,0,F,2018
"nice , nice",0,G,2018
"Great chair!!  Lightweight and simple to hang, my kids love swinging in here.",0,H,2018
Their re auto fill. Hang nicely and are a beautiful cream linen.,0,I,2018
"I ordered 3 of these in oil rubbed bronze for a client and they have a great finish, good weight, real metal. I ordered the large size according to their measurements listed and even asked the minimum size the rod would go down to b
ut when they arrived I couldn't use the long extension piece at all which makes me think that I could have ordered the smaller size and saved money. I did have one bracket that needed to fit on the outer extension rod (which has to be slightly larger in diameter so that the extending section can slide into it) but didn't. I made it work but less than perfect. The other two rods came with 2 slightly larger diameter brackets and one slightly smaller diameter bracket which is the correct number & size you need.",0,J,2018
Thin and flimsy - very basic toss-away after a few months set.,0,A,2018
Very cute for the holidays!,0,B,2018
Absolutely precious.   The shade of blue is gorgeous.   Visitors  love looking around to try to find these lovely decorations.,0,C,2018
Very nice. Same as pic,0,D,2018
Looks like picture and is a little stiff but comfortable.,0,E,2018
"I think it was really neat the way it came, in a box my husband put it together and it seems to be pretty easy to do",0,F,2018
A little expensive for the quality. Not bad though.,0,G,2017
These are wonderful!  They water themselves as needed from the overflow reservoir at the bottom.  Works excellent for swamp based plants.   Only ones I'll use.,0,H,2017
Cheap looking but quick shipping,0,I,2017
I love them..,0,J,2017
BEAUTIFUL. Great quality. Not a thing wrong. Delivery was early and seamless. Great value.  LOVE AND TRUST WAYFAIR!! it is my go to shopping source,0,A,2017
The bookcase looks very nice in my son's room. Just the look I was going for.,0,B,2017
"This is nothing what I expected, I was.not sure about it at first when I opened the box.. My tile.is very dark and I wanted something different to brighten it up and I also needed a.rug that was dog friendly.  Its very modern and.some would.consider it garage type looking. I put it by my sink and dishwasher. This rug is a very shiny silver not grey as I expected. I love it changed the entire appearance of my kitchen I bought the long runner and so glad I spent the money on it. I would highly recommend this plush new modern for any kitchen.",0,C,2017
So soft and cuddly,0,D,2018
I'm loving it. Goes with two chairs previously purchased. A little tricky putting together but well packaged for each step. Hint: put the bottom slats on first before assembling the rest.,0,E,2017
Loved the glam look. Thank You because could not find anything like it. Beautiful. Quality is excellent.,0,F,2017
Bought this in a King size Bed. The back legs are thin for as big as the bed is. Looks good and was easy to assemble but not sure how long it will last because of the quality.,0,G,2017
Love the bed. Been looking forever and this was a price I could not pass up. Seems really sturdy. Enough for two humans and three dogs. One being a Great Dane,0,H,2017
"Too soft, I never want to leave my house.",0,I,2018
"Great quality, easy assembly. The price was fantastic for the amazing quality it is. We couldn't be happier!",0,J,2017
So pretty and realistic looking.,0,A,2017
Looks great....love the price and made well..,0,B,2017
"I purchased this vase as a bathroom waste basket.  The height and circumference keeps my dog from being able to trash dig.  Anyway, it is light weight and has a very nice modern appeal.",0,C,2017
I really like the rug plus has no-skid backing. The beauty and price sold it to me.,0,D,2018
Love,0,E,2017
I love my Christmas tree marquee sign! It looks great on top of my hutch all lit up at night!,0,F,2017
Exactly what I wanted! I love it!,0,G,2017
perfect for a layered strawberry angel food cake,0,H,2018
"Very spacious and holds two
Monitors providing ample space for work",0,I,2018
Nice color but small for our entry way.,0,J,2018
They look great! I put them together myself. Very happy with purchase!,0,A,2017
Soft,0,B,2017
Very warm,0,C,2018
Perfect fit.,0,D,2018
These look really nice but the cushions need more cushion. They are super thin with not much padding. I am not fat nor are my friends and they still flatten out. I will have to invite some fat person over to sit on the cushions to see if it survives. The bases are fine though.,0,E,2018
Waiting on it now. The biggest one ive seen yet look forward to using it. GOT IT FOR OVER HALF OFF,0,F,2018
The second one that you sent was great. Working nicely in the kitchen.,0,G,2018
"Very pleased with this vanity—I would definitely buy again. Solid, firm structure, with beautiful ceramic top. Plenty of space in the drawers and cabinet. I've switched out the faucet, as the chrome doesn't match the rest of the bathroom. Overall: very modern, clean lines. Makes a positive statement.",0,H,2017
I love love them,0,I,2017
Great! Super easy to assemble and does exactly what we need it to do.,0,J,2018
These sheets are so soft!  Feels like I'm sleeping on a cloud!,0,A,2017
Loved it,0,B,2017
Awesome deal for the price. Very comfortable in lounge mode and doesn't take up too much room.,0,C,2018
I love it! My cats love it! Well priced and the craftsmanship is  superb; even got it in blue to match the surrounding decor.,0,D,2018
